Date,District,Ward,Types of houses,House ownership certificate,Number of floors,Number of bedrooms,Total rooms,Area (m2),Length (m),Width (m),Price (million)/ m2,Total price (million)
02/09/2020,Ba Dinh,Phuc Xa,Alley house,Yes,3,3,7,32,9.14,3.50,375,12000
02/10/2020,Thanh Xuan,Khuong Dinh,Terraced house,Yes,4,4,10,42,8.40,5.00,71.43,3000.06
02/10/2020,Dong Da,Nam Dong,Terraced house,Yes,5,6,13,50,10.00,5.00,290,14500
02/11/2020,Hoang Mai,Dinh Cong,Alley house,Yes,5,6,11,45,8.04,5.60,96.67,4350.15
02/12/2020,Hai Ba Trung,Le Dai Hanh,Townhouse,Yes,5,4,10,41,8.20,5.00,304.88,12500.08
02/16/2020,Dong Da,Quoc Tu Giam,Townhouse,Yes,5,6,12,100,13.33,7.50,360,36000
02/17/2020,Cau Giay,Trung Hoa,Alley house,Yes,5,5,10,70,11.29,6.20,235.71,16499.7
02/19/2020,Tay Ho,Quang An,Villa,Yes,5,5,10,99,13.20,7.50,176.77,17500.23
02/20/2020,Long Bien,Thuong Thanh,Alley house,Yes,5,3,7,33,9.43,3.50,57.58,1900.14
02/24/2020,Thanh Xuan,Phuong Liet,Townhouse,Yes,5,5,11,96,12.31,7.80,112.5,10800
02/24/2020,Dong Da,Quang Trung,Townhouse,Yes,2,3,6,68,10.46,6.50,257.35,17499.8
02/28/2020,Dong Da,Lang Ha,Terraced house,Yes,4,3,12,60,9.23,6.50,183.33,10999.8
02/28/2020,Dong Da,Quoc Tu Giam,Townhouse,Yes,4,5,10,155,12.92,12.00,193.55,30000.25
02/29/2020,Thanh Xuan,Khuong Trung,Townhouse,Yes,5,4,10,64,9.85,6.50,257.81,16499.84
03/05/2020,Thanh Xuan,Nhan Chinh,Alley house,Yes,4,4,8,62,9.54,6.50,90.32,5599.84
03/09/2020,Ba Dinh,Kim Ma,Alley house,Yes,4,4,8,52,10.40,5.00,86.54,4500.08
03/10/2020,Nam Tu Liem,Me Tri,Villa,Yes,4,4,13,195,30.00,6.50,123.08,24000.6
03/11/2020,Thanh Xuan,Khuong Mai,Terraced house,Yes,6,8,16,70,10.77,6.50,192.86,13500.2
03/11/2020,Thanh Xuan,Khuong Trung,Townhouse,Yes,5,5,11,60,9.23,6.50,130,7800
03/12/2020,Hai Ba Trung,Dong Mac,Terraced house,Yes,6,4,13,36,10.98,3.28,169.44,6099.84
03/14/2020,Thanh Xuan,Khuong Dinh,Townhouse,Yes,4,10,15,95,13.34,7.12,150.53,14300.35
03/14/2020,Cau Giay,Quan Hoa,Townhouse,Yes,6,6,13,90,12.00,7.50,143.33,12899.7
03/16/2020,Tay Ho,Buoi,Alley house,Yes,1,2,6,69,10.62,6.50,130.43,8999.67
03/17/2020,Long Bien,Gia Thuy,Townhouse,Yes,5,4,10,33,9.38,3.52,103.03,3399.99
03/17/2020,Nam Tu Liem,My Dinh 1,Townhouse,Yes,8,8,17,55,11.00,5.00,112.73,6200.15
03/17/2020,Cau Giay,Trung Hoa,Alley house,Yes,4,4,8,62,8.92,6.95,85.48,5299.76
03/18/2020,Thanh Xuan,Thuong Dinh,Alley house,No,5,3,7,38,10.86,3.50,94.74,3600.12
03/18/2020,Tay Ho,Xuan La,Alley house,Yes,5,6,11,37,10.57,3.50,97.3,3600.1
03/18/2020,Tay Ho,Yen Phu,Townhouse,Yes,5,6,12,50,12.50,4.00,160,8000
03/19/2020,Long Bien,Bo De,Alley house,Yes,5,4,8,43,7.29,5.90,97.67,4199.81
03/20/2020,Nam Tu Liem,Cau Dien,Alley house,Yes,7,5,10,42,8.40,5.00,126.19,5299.98
03/20/2020,Dong Da,Nam Dong,Townhouse,Yes,5,6,12,100,13.33,7.50,250,25000
03/22/2020,Tay Ho,Buoi,Townhouse,Yes,5,3,9,50,8.33,6.00,136,6800
03/23/2020,Hoang Mai,Dinh Cong,Townhouse,Yes,5,4,10,60,9.23,6.50,135,8100
03/23/2020,Nam Tu Liem,Me Tri,Townhouse,Yes,5,3,9,37,11.01,3.36,100,3700
03/24/2020,Tay Ho,Xuan La,Terraced house,Yes,5,4,11,40,11.43,3.50,62.5,2500
03/25/2020,Thanh Xuan,Khuong Mai,Townhouse,Yes,3,3,7,58,8.92,6.50,279.31,16199.98
03/25/2020,Hoai Duc,Van Canh,Villa,Yes,4,4,11,114,12.67,9.00,64.04,7300.56
03/25/2020,Tay Ho,Xuan La,Townhouse,Yes,4,5,10,60,9.23,6.50,150,9000
03/26/2020,Dong Da,O Cho Dua,Townhouse,Yes,3,3,7,30,10.00,3.00,106.67,3200.1
03/26/2020,Hai Ba Trung,Quynh Mai,Townhouse,Yes,5,4,10,52,10.20,5.10,105.77,5500.04
03/27/2020,Dong Da,Khuong Thuong,Townhouse,Yes,5,7,13,40,11.43,3.50,125,5000
03/28/2020,Nam Tu Liem,My Dinh 1,Townhouse,Yes,5,6,12,43,8.60,5.00,120.93,5199.99
03/28/2020,Nam Tu Liem,My Dinh 1,Alley house,Yes,6,5,10,45,9.00,5.00,71.11,3199.95
03/29/2020,Bac Tu Liem,Co Nhue 2,Townhouse,Yes,6,4,11,100,12.15,8.23,110,11000
03/30/2020,Nam Tu Liem,My Dinh 1,Townhouse,Yes,7,4,12,35,10.00,3.50,145.71,5099.85
03/31/2020,Ba Dinh,Vinh Phuc,Townhouse,Yes,5,3,9,41,8.04,5.10,91.46,3749.86
04/27/2020,Ba Dinh,Doi Can,Alley house,Yes,4,3,7,42,7.64,5.50,83.33,3499.86
04/27/2020,Dong Da,Trung Phung,Alley house,No,3,2,6,22,5.50,4.00,63.64,1400.08
05/04/2020,Tay Ho,Tu Lien,Alley house,Yes,1,1,5,72,10.11,7.12,62.5,4500
05/20/2020,Hai Ba Trung,Cau Den,Townhouse,Yes,8,2,11,172,27.30,6.30,325.58,55999.76
05/20/2020,Hoang Mai,Giap Bat,Townhouse,Yes,4,4,9,40,11.43,3.50,87.5,3500
05/20/2020,Hoang Mai,Giap Bat,Alley house,Yes,5,4,8,48,9.60,5.00,93.75,4500
05/20/2020,Hoang Mai,Hoang Van Thu,Townhouse,Yes,5,5,11,45,9.00,5.00,95.56,4300.2
05/20/2020,Dong Da,Kim Lien,Alley house,No,5,4,8,41,8.20,5.00,114.63,4699.83
05/20/2020,Ba Dinh,Ngoc Ha,Villa,Yes,4,5,14,88,11.73,7.50,104.55,9200.4
05/20/2020,Long Bien,Ngoc Thuy,Townhouse,Yes,4,3,8,65,10.40,6.25,76.92,4999.8
05/20/2020,Hai Ba Trung,Pho Hue,Townhouse,Yes,4,6,11,96,12.80,7.50,125,12000
05/20/2020,Long Bien,Thach Ban,Alley house,Yes,5,3,7,32,8.21,3.90,65.63,2100.16
06/09/2020,Long Bien,Bo De,Alley house,Yes,5,4,8,60,9.23,6.50,88.33,5299.8
06/09/2020,Tay Ho,Buoi,Alley house,Yes,5,4,8,35,10.00,3.50,92.86,3250.1
06/09/2020,Hai Ba Trung,Cau Den,Alley house,Yes,4,2,6,35,10.00,3.50,85.71,2999.85
06/09/2020,Ba Dinh,Cong Vi,Alley house,Yes,4,4,8,33,9.12,3.62,128.79,4250.07
06/09/2020,Long Bien,Cu Khoi,Alley house,Yes,4,3,7,30,9.09,3.30,57.67,1730.1
06/09/2020,Hoang Mai,Dai Kim,Alley house,No,5,4,8,37,10.57,3.50,74.32,2749.84
06/09/2020,Cau Giay,Dich Vong,Alley house,Yes,4,4,8,40,11.43,3.50,75,3000
