Date,District,Ward,Types of houses,House ownership certificate,Number of floors,Number of bedrooms,Total rooms,Area (m2),Length (m),Width (m),Price (million)/ m2,Total price (million)
02/09/2020,4,Phuc Xa,1,Yes,3,3,7,32.0,9.14,3.5,375.0,12000.0
02/10/2020,15,Khuong Dinh,3,Yes,4,4,10,42.0,8.4,5.0,71.43,3000.06
02/10/2020,7,Nam Dong,3,Yes,5,6,13,50.0,10.0,5.0,290.0,14500.0
02/11/2020,11,Dinh Cong,1,Yes,5,6,11,45.0,8.04,5.6,96.67,4350.15
02/12/2020,9,Le Dai Hanh,2,Yes,5,4,10,41.0,8.2,5.0,304.88,12500.08
02/16/2020,7,Quoc Tu Giam,2,Yes,5,6,12,100.0,13.33,7.5,360.0,36000.0
02/17/2020,6,Trung Hoa,1,Yes,5,5,10,70.0,11.29,6.2,235.71,16499.7
02/19/2020,14,Quang An,4,Yes,5,5,10,99.0,13.2,7.5,176.77,17500.23
02/20/2020,12,Thuong Thanh,1,Yes,5,3,7,33.0,9.43,3.5,57.58,1900.14
02/24/2020,15,Phuong Liet,2,Yes,5,5,11,96.0,12.31,7.8,112.5,10800.0
02/24/2020,7,Quang Trung,2,Yes,2,3,6,68.0,10.46,6.5,257.35,17499.8
02/28/2020,7,Lang Ha,3,Yes,4,3,12,60.0,9.23,6.5,183.33,10999.8
02/28/2020,7,Quoc Tu Giam,2,Yes,4,5,10,155.0,12.92,12.0,193.55,30000.25
02/29/2020,15,Khuong Trung,2,Yes,5,4,10,64.0,9.85,6.5,257.81,16499.84
03/05/2020,15,Nhan Chinh,1,Yes,4,4,8,62.0,9.54,6.5,90.32,5599.84
03/09/2020,4,Kim Ma,1,Yes,4,4,8,52.0,10.4,5.0,86.54,4500.08
03/10/2020,13,Me Tri,4,Yes,4,4,13,195.0,30.0,6.5,123.08,24000.6
03/11/2020,15,Khuong Mai,3,Yes,6,8,16,70.0,10.77,6.5,192.86,13500.2
03/11/2020,15,Khuong Trung,2,Yes,5,5,11,60.0,9.23,6.5,130.0,7800.0
03/12/2020,9,Dong Mac,3,Yes,6,4,13,36.0,10.98,3.28,169.44,6099.84
03/14/2020,15,Khuong Dinh,2,Yes,4,10,15,95.0,13.34,7.12,150.53,14300.35
03/14/2020,6,Quan Hoa,2,Yes,6,6,13,90.0,12.0,7.5,143.33,12899.7
03/16/2020,14,Buoi,1,Yes,1,2,6,69.0,10.62,6.5,130.43,8999.67
03/17/2020,12,Gia Thuy,2,Yes,5,4,10,33.0,9.38,3.52,103.03,3399.99
03/17/2020,13,My Dinh 1,2,Yes,8,8,17,55.0,11.0,5.0,112.73,6200.15
03/17/2020,6,Trung Hoa,1,Yes,4,4,8,62.0,8.92,6.95,85.48,5299.76
03/18/2020,15,Thuong Dinh,1,No,5,3,7,38.0,10.86,3.5,94.74,3600.12
03/18/2020,14,Xuan La,1,Yes,5,6,11,37.0,10.57,3.5,97.3,3600.1
03/18/2020,14,Yen Phu,2,Yes,5,6,12,50.0,12.5,4.0,160.0,8000.0
03/19/2020,12,Bo De,1,Yes,5,4,8,43.0,7.29,5.9,97.67,4199.81
03/20/2020,13,Cau Dien,1,Yes,7,5,10,42.0,8.4,5.0,126.19,5299.98
03/20/2020,7,Nam Dong,2,Yes,5,6,12,100.0,13.33,7.5,250.0,25000.0
03/22/2020,14,Buoi,2,Yes,5,3,9,50.0,8.33,6.0,136.0,6800.0
03/23/2020,11,Dinh Cong,2,Yes,5,4,10,60.0,9.23,6.5,135.0,8100.0
03/23/2020,13,Me Tri,2,Yes,5,3,9,37.0,11.01,3.36,100.0,3700.0
03/24/2020,14,Xuan La,3,Yes,5,4,11,40.0,11.43,3.5,62.5,2500.0
03/25/2020,15,Khuong Mai,2,Yes,3,3,7,58.0,8.92,6.5,279.31,16199.98
03/25/2020,2,Van Canh,4,Yes,4,4,11,114.0,12.67,9.0,64.04,7300.56
