Quận,Phường,Tầng,Phòng ngủ,Diện tích
9,9.20,5,5.0,50.0
9,9.63,5,3.0,25.0
7,7.46,5,4.0,34.0
7,7.48,4,3.0,28.0
14,14.18,4,4.0,33.0
3,3.3,3,3.0,36.0
6,6.12,7,8.0,55.0
12,12.24,5,5.0,58.0
4,4.21,5,4.0,28.0
7,7.59,4,3.0,32.0
8,8.44,5,4.0,33.0
9,9.70,4,2.0,35.0
7,7.20,4,4.0,100.0
6,6.26,4,3.0,34.0
14,14.8,5,6.0,40.0
15,15.75,4,2.0,40.0
5,5.3,5,4.0,40.0
15,15.93,4,4.0,50.0
14,14.31,4,3.0,65.0
4,4.38,3,2.0,32.0
7,7.95,8,4.0,50.0
7,7.72,5,3.0,31.0
9,9.15,5,4.0,36.0
11,11.109,3,3.0,32.0
9,9.69,6,4.0,43.0
12,12.5,5,5.0,45.0
8,8.79,2,1.0,23.0
6,6.52,3,3.0,52.0
12,12.28,5,3.0,34.0
7,7.84,6,4.0,43.0
13,13.26,5,6.0,40.0
8,8.67,4,6.0,126.0
11,11.36,6,9.0,50.0
11,11.89,4,4.0,65.0
15,15.64,5,5.0,55.0
11,11.18,5,3.0,36.0
8,8.84,4,3.0,60.0
1,1.1,3,2.0,30.0
12,12.55,5,3.0,33.0
4,4.34,5,3.0,32.0
12,12.21,5,6.0,45.0
12,12.8,4,3.0,38.0
8,8.10,4,3.0,33.0
9,9.46,4,3.0,31.0
15,15.10,4,4.0,60.0
15,15.2,5,4.0,62.0
15,15.4,5,5.0,48.0
8,8.87,5,5.0,85.0
11,11.60,5,3.0,38.0
9,9.37,4,3.0,16.0
2,2.5,4,4.0,114.0
15,15.12,5,3.0,40.0
9,9.6,4,3.0,35.0
8,8.28,1,1.0,260.0
7,7.24,5,9.0,39.0
8,8.5,5,4.0,30.0
4,4.25,5,3.0,26.0
11,11.28,5,4.0,33.0
11,11.35,5,3.0,30.0
15,15.88,4,3.0,35.0
9,9.73,5,4.0,45.0
15,15.13,2,2.0,33.0
4,4.52,4,4.0,52.0
9,9.23,8,7.0,136.0
8,8.24,4,6.0,91.0
4,4.29,5,3.0,32.0
6,6.2,4,4.0,42.0
12,12.48,4,4.0,40.0
13,13.36,5,6.0,43.0
5,5.6,5,3.0,45.0
8,8.78,4,3.0,50.0
11,11.51,3,4.0,36.0
7,7.22,4,2.0,24.0
14,14.11,5,6.0,72.0
15,15.31,4,6.0,60.0
7,7.29,3,3.0,70.0
4,4.26,5,3.0,32.0
8,8.58,5,4.0,33.0
13,13.10,4,6.0,45.0
8,8.54,5,4.0,34.0
8,8.61,5,4.0,96.0
6,6.41,5,4.0,33.0
14,14.37,1,1.0,72.0
8,8.65,5,4.0,38.0
11,11.8,5,3.0,30.0
4,4.32,4,3.0,45.0
6,6.8,5,6.0,35.0
14,14.15,6,4.0,40.0
5,5.4,4,4.0,36.0
7,7.35,5,4.0,60.0
14,14.25,5,4.0,45.0
7,7.89,4,4.0,48.0
15,15.29,6,4.0,35.0
7,7.28,8,5.0,46.0
6,6.47,5,2.0,33.0
5,5.16,5,6.0,38.0
7,7.3,4,4.0,30.0
15,15.97,6,8.0,70.0
7,7.49,4,4.0,36.0
8,8.51,4,3.0,40.0
7,7.8,5,8.0,75.0
9,9.24,4,4.0,36.0
14,14.36,5,4.0,35.0
9,9.64,4,3.0,35.0
7,7.65,4,4.0,48.0
8,8.48,1,1.0,35.0
7,7.36,4,4.0,52.0
9,9.2,3,3.0,45.0
3,3.8,4,3.0,30.0
13,13.39,7,5.0,42.0
11,11.17,4,3.0,48.0
12,12.6,5,4.0,37.0
8,8.71,4,3.0,40.0
11,11.49,5,3.0,34.0
8,8.69,5,4.0,44.2
15,15.22,4,3.0,30.0
9,9.53,4,2.0,27.0
11,11.75,4,4.0,50.0
14,14.9,5,3.0,30.0
9,9.32,5,3.0,33.0
4,4.28,3,2.0,41.0
8,8.46,4,3.0,38.0
13,13.22,4,7.0,140.0
9,9.36,4,4.0,35.0
9,9.43,4,4.0,60.0
4,4.12,4,4.0,40.0
15,15.78,4,4.0,52.0
11,11.63,3,4.0,80.0
6,6.13,5,3.0,30.0
15,15.34,5,4.0,65.0
6,6.40,4,4.0,73.0
4,4.47,4,4.0,33.0
7,7.11,4,2.0,30.0
6,6.53,5,6.0,55.0
12,12.27,4,4.0,360.0
15,15.6,5,5.0,35.0
4,4.9,4,4.0,40.0
14,14.13,4,4.0,50.0
8,8.17,2,2.0,45.0
8,8.62,5,3.0,33.0
8,8.15,4,4.0,60.0
7,7.73,4,4.0,40.0
6,6.57,5,3.0,33.0
7,7.107,5,4.0,41.0
15,15.66,5,3.0,36.0
8,8.75,4,3.0,45.0
15,15.56,4,4.0,55.0
8,8.3,5,5.0,90.0
11,11.68,5,3.0,46.0
13,13.5,1,1.0,45.0
8,8.6,3,2.0,37.0
9,9.12,3,3.0,72.0
15,15.92,5,4.0,35.0
4,4.39,5,4.0,40.0
11,11.66,5,6.0,38.0
6,6.14,5,6.0,75.0
7,7.74,5,5.0,56.0
6,6.44,5,4.0,51.0
9,9.14,4,3.0,20.0
11,11.103,4,4.0,38.0
14,14.40,5,3.0,50.0
11,11.37,5,4.0,43.0
