Ngày,Quận,Phường ,Loại hình,Tầng,Phòng ngủ,Diện tích,Giá/m2,Giá
08/05/2020,Quận Hai Bà Trưng,Phường Đống Mác,"Nhà mặt phố, mặt tiền",6,5.00,32.00 ,184.38 ,5900.16
08/05/2020,Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",4,3.00,41.00 ,64.63 ,2649.83
08/05/2020,Quận Hoàng Mai,Phường Định Công,"Nhà ngõ, hẻm",5,4.00,30.00 ,83.33 ,2499.9
08/05/2020,Quận Long Biên,Phường Bồ Đề,"Nhà ngõ, hẻm",5,4.00,52.00 ,93.27 ,4850.04
08/05/2020,Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà ngõ, hẻm",2,2.00,57.00 ,83.33 ,4749.81
08/05/2020,Quận Cầu Giấy,Phường Yên Hoà,"Nhà ngõ, hẻm",4,3.00,43.00 ,86.05 ,3700.15
08/05/2020,Quận Cầu Giấy,Phường Dịch Vọng,"Nhà ngõ, hẻm",4,4.00,42.00 ,88.10 ,3700.2
08/04/2020,Quận Long Biên,Phường Gia Thụy,"Nhà mặt phố, mặt tiền",2,3.00,70.00 ,102.86 ,7200.2
08/04/2020,Quận Nam Từ Liêm,Phường Phương Canh,"Nhà ngõ, hẻm",5,3.00,32.00 ,51.56 ,1649.92
08/04/2020,Quận Hà Đông,Phường Văn Quán,"Nhà ngõ, hẻm",5,6.00,65.00 ,75.38 ,4899.7
08/04/2020,Quận Hoàng Mai,Phường Tương Mai,"Nhà ngõ, hẻm",5,4.00,45.00 ,64.44 ,2899.8
08/04/2020,Quận Hà Đông,Phường La Khê,"Nhà mặt phố, mặt tiền",5,5.00,90.00 ,108.89 ,9800.1
08/04/2020,Quận Nam Từ Liêm,Phường Tây Mỗ,"Nhà ngõ, hẻm",4,3.00,32.00 ,60.94 ,1950.08
08/04/2020,Quận Cầu Giấy,Phường Nghĩa Đô,"Nhà ngõ, hẻm",5,5.00,45.00 ,95.56 ,4300.2
08/04/2020,Huyện Thanh Trì,Xã Tả Thanh Oai,"Nhà ngõ, hẻm",3,2.00,42.00 ,29.76 ,1249.92
08/04/2020,Quận Đống Đa,Phường Láng Hạ,"Nhà mặt phố, mặt tiền",5,4.00,42.00 ,361.90 ,15199.8
08/04/2020,Huyện Thanh Trì,Xã Tam Hiệp,"Nhà ngõ, hẻm",4,4.00,43.00 ,50.00 ,2150
08/04/2020,Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",5,3.00,25.00 ,96.00 ,2400
08/04/2020,Quận Hai Bà Trưng,Phường Bách Khoa,"Nhà ngõ, hẻm",3,3.00,45.00 ,51.11 ,2299.95
08/04/2020,Quận Ba Đình,Phường Vĩnh Phúc,"Nhà ngõ, hẻm",4,2.00,35.00 ,80.86 ,2830.1
08/04/2020,Quận Thanh Xuân,Phường Khương Trung,"Nhà ngõ, hẻm",4,4.00,38.00 ,68.42 ,2599.96
08/04/2020,Quận Đống Đa,Phường Trung Tự,"Nhà ngõ, hẻm",5,5.00,120.00 ,125.00 ,15000
08/04/2020,Quận Hà Đông,Phường Kiến Hưng,Nhà biệt thự,3,5.00,200.00 ,47.25 ,9450
08/04/2020,Quận Ba Đình,Phường Cống Vị,"Nhà ngõ, hẻm",8,7.00,55.00 ,309.09 ,16999.95
08/04/2020,Quận Đống Đa,Phường Ô Chợ Dừa,"Nhà ngõ, hẻm",4,4.00,30.00 ,50.00 ,1500
08/04/2020,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",5,9.00,77.00 ,2.08 ,160.16
08/04/2020,Quận Cầu Giấy,Phường Mai Dịch,"Nhà ngõ, hẻm",5,4.00,34.00 ,120.59 ,4100.06
08/04/2020,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",4,3.00,27.00 ,72.22 ,1949.94
08/04/2020,Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",5,4.00,30.00 ,82.67 ,2480.1
08/04/2020,Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",5,3.00,35.00 ,114.29 ,4000.15
08/04/2020,Quận Hai Bà Trưng,Phường Thanh Lương,"Nhà ngõ, hẻm",4,2.00,18.00 ,105.56 ,1900.08
08/04/2020,Quận Ba Đình,Phường Ngọc Hà,"Nhà ngõ, hẻm",5,5.00,33.00 ,136.36 ,4499.88
08/04/2020,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",5,3.00,32.00 ,89.06 ,2849.92
08/04/2020,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",4,3.00,20.00 ,97.50 ,1950
08/04/2020,Quận Nam Từ Liêm,Phường Phú Đô,"Nhà mặt phố, mặt tiền",5,4.00,54.00 ,101.85 ,5499.9
08/04/2020,Quận Long Biên,Phường Long Biên,"Nhà ngõ, hẻm",5,5.00,40.00 ,68.75 ,2750
08/04/2020,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",4,3.00,28.00 ,70.00 ,1960
08/04/2020,Quận Đống Đa,Phường Kim Liên,"Nhà ngõ, hẻm",3,3.00,28.00 ,100.00 ,2800
08/04/2020,Quận Bắc Từ Liêm,Phường Phúc Diễn,"Nhà ngõ, hẻm",4,5.00,42.00 ,67.86 ,2850.12
08/04/2020,Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",4,4.00,32.00 ,84.38 ,2700.16
08/04/2020,Quận Nam Từ Liêm,Phường Cầu Diễn,Nhà phố liền kề,5,4.00,113.00 ,247.79 ,27999.931
08/04/2020,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",5,3.00,30.00 ,118.33 ,3549.9
08/04/2020,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",3,2.00,37.00 ,53.51 ,1979.87
08/04/2020,Quận Nam Từ Liêm,Phường Trung Văn,"Nhà ngõ, hẻm",1,1.00,45.00 ,71.11 ,3199.95
08/04/2020,Quận Thanh Xuân,Phường Thượng Đình,"Nhà ngõ, hẻm",5,4.00,62.00 ,125.81 ,7800.22
08/04/2020,Quận Đống Đa,Phường Ngã Tư Sở,"Nhà ngõ, hẻm",5,4.00,41.00 ,207.32 ,8500.12
08/04/2020,Quận Thanh Xuân,Phường Nhân Chính,"Nhà ngõ, hẻm",4,3.00,46.00 ,81.52 ,3749.92
08/04/2020,Quận Đống Đa,Phường Trung Liệt,"Nhà ngõ, hẻm",5,3.00,11.00 ,131.82 ,1450.02
08/04/2020,Quận Hoàng Mai,Phường Hoàng Liệt,"Nhà mặt phố, mặt tiền",5,4.00,44.00 ,89.77 ,3949.88
08/04/2020,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",3,3.00,21.00 ,100.00 ,2100
08/04/2020,Quận Nam Từ Liêm,Phường Mỹ Đình 2,"Nhà mặt phố, mặt tiền",5,5.00,51.00 ,76.47 ,3899.97
08/04/2020,Quận Đống Đa,Phường Quốc Tử Giám,"Nhà mặt phố, mặt tiền",5,8.00,75.00 ,393.33 ,29499.75
08/04/2020,Quận Hà Đông,Phường Vạn Phúc,"Nhà ngõ, hẻm",5,3.00,35.00 ,71.43 ,2500.05
08/04/2020,Quận Đống Đa,Phường Khâm Thiên,"Nhà ngõ, hẻm",3,2.00,58.00 ,5.52 ,320.16
08/04/2020,Quận Đống Đa,Phường Láng Hạ,"Nhà ngõ, hẻm",5,4.00,54.00 ,200.00 ,10800
08/04/2020,Quận Bắc Từ Liêm,Phường Cổ Nhuế 1,"Nhà ngõ, hẻm",5,4.00,40.00 ,70.00 ,2800
08/04/2020,Quận Bắc Từ Liêm,Phường Phú Diễn,"Nhà ngõ, hẻm",4,4.00,36.00 ,65.28 ,2350.08
08/04/2020,Quận Hoàng Mai,Phường Tương Mai,"Nhà mặt phố, mặt tiền",5,3.00,55.00 ,51.82 ,2850.1
08/04/2020,Quận Ba Đình,Phường Kim Mã,"Nhà ngõ, hẻm",3,2.00,30.00 ,60.00 ,1800
08/04/2020,Quận Long Biên,Phường Đức Giang,"Nhà mặt phố, mặt tiền",3,4.00,196.00 ,80.61 ,15799.56
08/04/2020,Quận Long Biên,Phường Thạch Bàn,"Nhà ngõ, hẻm",5,5.00,45.00 ,91.11 ,4099.95
08/04/2020,Quận Long Biên,Phường Ngọc Thụy,"Nhà ngõ, hẻm",5,4.00,37.00 ,78.38 ,2900.06
08/04/2020,Quận Hai Bà Trưng,Phường Cầu Dền,"Nhà ngõ, hẻm",5,4.00,45.00 ,128.89 ,5800.05
08/04/2020,Quận Hoàng Mai,Phường Tân Mai,"Nhà mặt phố, mặt tiền",5,6.00,60.00 ,125.00 ,7500
08/04/2020,Quận Hoàng Mai,Phường Hoàng Văn Thụ,"Nhà ngõ, hẻm",5,3.00,25.00 ,96.00 ,2400
08/04/2020,Quận Hà Đông,Phường La Khê,"Nhà ngõ, hẻm",5,3.00,34.00 ,63.24 ,2150.16
08/04/2020,Quận Hoàng Mai,Phường Tương Mai,"Nhà ngõ, hẻm",4,4.00,48.00 ,62.50 ,3000
08/04/2020,Quận Hoàng Mai,Phường Mai Động,"Nhà ngõ, hẻm",4,4.00,34.00 ,120.59 ,4100.06
08/04/2020,Quận Hà Đông,Phường Phú La,"Nhà mặt phố, mặt tiền",5,4.00,40.00 ,50.00 ,2000
08/04/2020,Quận Hà Đông,Phường Hà Cầu,"Nhà ngõ, hẻm",4,3.00,33.00 ,65.15 ,2149.95
08/04/2020,Quận Thanh Xuân,Phường Phương Liệt,"Nhà ngõ, hẻm",5,5.00,48.00 ,114.58 ,5499.84
08/04/2020,Quận Hoàng Mai,Phường Vĩnh Hưng,"Nhà ngõ, hẻm",2,2.00,30.00 ,28.33 ,849.9
